App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Happy Music Player,COMMUNICATION,4.7,303,18M,"10,000+",Free,0,Everyone,Communication,"July 20, 2018",2.6.4,4.0.3 and up
Mini Workout,LIFESTYLE,4.1,39k,421k,"1,000,000+",Free,0,Everyone,Lifestyle,"September 15, 2017",Varies with device,Varies with device
Fast Calendar,MAPS_AND_NAVIGATION,4.0,5862,20M,"500,000+",Paid,$2.99,Everyone,Maps & Navigation,"January 27, 2017",Varies with device,4.0.3 and up
Pixel Translator 3,BUSINESS,3.9,4423,22M,"500,000+",Free,0,Teen,Business,"February 18, 2018",7.10.1,Varies with device
Ultimate Diet Tracker,FAMILY,,5,8.3M,100+,Free,0,Everyone,Casual,"April 11, 2018",7.13.7,Varies with device
Magic Photo Editor,PRODUCTIVITY,4.8,8556,10M,"500,000+",Free,0,Everyone,Productivity,"December 21, 2017",2.12.7,4.0.3 and up
Tiny Diet Tracker,ART_AND_DESIGN,4.1,2088,19M,"50,000+",Free,0,Everyone,Art & Design,"April 17, 2018",4.16.3,4.0.3 and up
Daily VPN,EDUCATION,4.1,2791,60M,"100,000+",Free,0,Teen,Education,"August 5, 2017",Varies with device,5.0 and up
Magic Diet Tracker,FINANCE,,1k,14M,"50,000+",Free,0,Everyone,Finance,"December 27, 2017",2.5.6,4.0.3 and up
Pro Scanner,MEDICAL,3.8,485,66M,"50,000+",Free,0,Everyone,Medical,"May 7, 2018",1.1.9,4.0.3 and up
Easy Messenger 16,ENTERTAINMENT,,1004,7.3M,"10,000+",Free,0,Everyone,Entertainment,"February 14, 2017",7.10.4,4.1 and up
Free Diet Tracker 6,TOOLS,4.1,61763,5.0M,"5,000,000+",Free,0,Everyone,Tools,"March 27, 2018",2.5.8,4.4 and up
Magic Translator 16,HEALTH_AND_FITNESS,3.6,4k,68M,"500,000+",Free,0,Everyone,Health & Fitness,"July 10, 2018",7.0.4,4.4 and up
Bright Dictionary 17,ART_AND_DESIGN,3.3,550,2.8M,"50,000+",Free,0,Mature 17+,Art & Design,"March 23, 2018",1.14.0,4.4 and up
Simple Music Player 9,TRAVEL_AND_LOCAL,3.8,302,7.4M,"5,000+",Free,0,Everyone,Travel & Local,"September 14, 2016",3.18.3,4.0.3 and up
Pocket Diet Tracker 8,SPORTS,4.1,204,26M,"5,000+",Free,0,Everyone,Sports,"August 12, 2017",4.6.7,5.0 and up
Daily Maps 6,HEALTH_AND_FITNESS,4.1,210678,4.9M,"5,000,000+",Free,0,Everyone,Health & Fitness,"November 17, 2016",6.7.4,Varies with device
Pocket Messenger,MEDICAL,3.8,16640,14M,"500,000+",Free,0,Mature 17+,Medical,"February 10, 2018",4.5.2,4.4 and up
Magic Flashlight,MEDICAL,4.2,30,Varies with device,"1,000+",Free,0,Everyone,Medical,"May 30, 2017",5.8.5,4.0.3 and up
Smart Dictionary 12,TOOLS,3.9,76,6.8M,"5,000+",Free,0,Everyone,Tools,"December 7, 2017",4.12.2,4.0.3 and up
Star Launcher,FAMILY,5.0,5k,1.9M,"100,000+",Free,0,Everyone,Casual,"January 29, 2018",6.15.4,Varies with device
Pro Workout,ART_AND_DESIGN,3.7,21698,55M,"500,000+",Free,0,Teen,Art & Design,"May 31, 2018",8.9.3,4.0.3 and up
Tiny Translator,HEALTH_AND_FITNESS,3.8,813,56M,"10,000+",Free,0,Mature 17+,Health & Fitness,"March 8, 2017",3.19.2,4.4 and up
Pixel Radio 9,SHOPPING,4.1,14876,12M,"1,000,000+",Free,0,Everyone,Shopping,"June 7, 2018",3.10.7,5.0 and up
Pixel Flashlight 10,BUSINESS,4.1,29.6k,6.7M,"1,000,000+",Free,0,Everyone,Business,"July 2, 2017",7.16.2,5.0 and up
Free Scanner,HEALTH_AND_FITNESS,4.1,31608,17M,"500,000+",Free,0,Everyone,Health & Fitness,"January 29, 2018",8.11.5,4.4 and up
Super Maps,ART_AND_DESIGN,4.6,88,7.4M,"5,000+",Free,0,Everyone,Art & Design,"March 17, 2018",7.19.6,4.4 and up
Quick Notes 14,PRODUCTIVITY,4.2,85,17M,"5,000+",Free,0,Everyone,Productivity,"November 21, 2017",2.5.5,5.0 and up
Cool Coloring Book,SOCIAL,4.3,5515,18M,"500,000+",Free,0,Everyone,Social,"September 14, 2017",2.4.0,5.0 and up
Daily Flashlight,TRAVEL_AND_LOCAL,3.7,327,466k,"10,000+",Free,0,Everyone,Travel & Local,"July 28, 2016",5.18.9,Varies with device
Daily Music Player,GAME,3.9,4434,91M,"500,000+",Paid,$4.99,Everyone 10+,Action,"March 24, 2017",5.3.8,4.0.3 and up
Daily Maps,BUSINESS,4.4,1313,13M,"50,000+",Free,0,Everyone,Business,"February 25, 2018",6.5.1,4.4 and up
Simple Music Player,FAMILY,4.1,224486,27M,"10,000,000+",Free,0,Everyone,Casual,"July 30, 2018",Varies with device,5.0 and up
Magic Flashlight,SPORTS,4.7,9.1k,5.9M,"500,000+",Free,0,Everyone,Sports,"July 12, 2018",2.15.1,4.4 and up
Pro Photo Editor,TOOLS,5.0,494,33M,"10,000+",Free,0,Everyone,Tools,,5.4.6,4.0.3 and up
Pro Workout,PRODUCTIVITY,4.2,89,33M,"5,000+",Free,0,Everyone,Productivity,"September 29, 2017",8.3.0,5.0 and up
Secure Dictionary,EDUCATION,4.3,404,12M,"10,000+",Free,0,Everyone,Education,"April 9, 2018",2.14.1,Varies with device
Tiny Translator,MEDICAL,,161235,Varies with device,"5,000,000+",Free,0,Everyone,Medical,"February 14, 2018",8.15.0,5.0 and up
Pixel Budget,MAPS_AND_NAVIGATION,3.8,1k,37M,"50,000+",Free,0,Everyone,Maps & Navigation,"January 27, 2018",2.16.5,5.0 and up
Free Recipes,EDUCATION,4.6,269,25M,"10,000+",Free,0,Everyone,Education,"December 28, 2017",6.18.1,4.1 and up
Pro Music Player,PHOTOGRAPHY,3.9,80,Varies with device,"1,000+",Free,0,Everyone,Photography,"August 17, 2017",Varies with device,4.4 and up
Simple Flashlight,FINANCE,4.2,329,23M,"10,000+",Free,0,Everyone,Finance,"July 11, 2017",4.4.0,Varies with device
Tiny Dictionary 15,EDUCATION,4.1,98,17M,"5,000+",Free,0,Everyone,Education,"December 3, 2017",7.11.1,Varies with device
Bright Puzzle,PHOTOGRAPHY,2.7,1587,1.6M,"50,000+",Free,0,Everyone,Photography,"October 5, 2016",4.18.8,4.0.3 and up
Secure Notes,TOOLS,3.9,849,13M,"50,000+",Free,0,Teen,Tools,"December 15, 2017",2.5.6,4.1 and up
Super Messenger,BOOKS_AND_REFERENCE,4.5,784,11M,"50,000+",Free,0,Teen,Books & Reference,"January 29, 2018",1.5.3,4.0.3 and up
Smart Budget 2,TRAVEL_AND_LOCAL,4.6,5556,Varies with device,"100,000+",Free,0,Everyone,Travel & Local,"July 27, 2017",5.7.1,4.4 and up
Tiny Scanner,HEALTH_AND_FITNESS,,0,6.2M,1+,Free,0,Everyone,Health & Fitness,"January 12, 2018",Varies with device,5.0 and up
Bright Wallpapers,BOOKS_AND_REFERENCE,3.8,1396,8.4M,"50,000+",Free,0,Teen,Books & Reference,"February 28, 2018",8.9.9,5.0 and up
Simple Workout 11,SOCIAL,4.1,15,Varies with device,500+,Free,0,Everyone,Social,"July 6, 2017",3.2.8,5.0 and up
Tiny Notes,COMMUNICATION,3.7,338,15M,"10,000+",Free,0,Everyone,Communication,"July 31, 2015",1.5.7,4.1 and up
Super Scanner,LIFESTYLE,4.9,1771,Varies with device,"50,000+",Paid,$9.99,Everyone,Lifestyle,"June 8, 2018",3.18.8,4.4 and up
Super Notes,ENTERTAINMENT,4.2,2.1k,347k,"50,000+",Free,0,Everyone,Entertainment,"January 12, 2018",6.13.0,5.0 and up
Pocket Maps,TOOLS,3.5,588,Varies with device,"10,000+",Free,0,Everyone,Tools,"January 20, 2017",8.1.1,5.0 and up
Simple Notes,EDUCATION,4.1,5820,24M,"500,000+",Paid,$0.99,Everyone,Education,"June 14, 2018",4.6.1,4.1 and up
Smart Recipes,TRAVEL_AND_LOCAL,4.4,405,9.8M,"5,000+",Free,0,Everyone,Travel & Local,"August 7, 2017",7.18.0,4.4 and up
Pixel Notes,PHOTOGRAPHY,3.8,2438,13M,"50,000+",Free,0,Everyone,Photography,"April 28, 2017",5.16.0,4.1 and up
Super Launcher,SHOPPING,4.1,38,Varies with device,"5,000+",Free,0,Mature 17+,Shopping,"September 21, 2017",8.14.4,4.1 and up
Super Music Player 7,COMMUNICATION,4.3,3k,15M,"50,000+",Free,0,Everyone,Communication,"June 7, 2018",4.3.0,4.1 and up
Free Diet Tracker,PHOTOGRAPHY,4.4,155,Varies with device,"5,000+",Free,0,Everyone 10+,Photography,"February 26, 2018",7.19.0,4.0.3 and up
Tiny Photo Editor,FINANCE,4.6,550,74M,"50,000+",Free,0,Everyone,Finance,"April 28, 2018",5.9.6,5.0 and up
Daily Flashlight 19,SOCIAL,4.4,5k,436k,"50,000+",Free,0,Everyone,Social,"June 8, 2016",Varies with device,4.1 and up
Magic Chess 2,SOCIAL,5.0,1484,14M,"100,000+",Free,0,Everyone,Social,"June 27, 2017",3.10.7,4.0.3 and up
Easy Workout,BUSINESS,4.4,8068,12M,"100,000+",Free,0,Everyone,Business,"December 9, 2014",7.17.0,4.1 and up
Smart Calendar,COMMUNICATION,4.5,1.0M,7.4M,"50,000,000+",Free,0,Everyone,Communication,"December 14, 2016",7.10.7,5.0 and up
Secure Weather 2,BOOKS_AND_REFERENCE,,9,1.3M,500+,Free,0,Teen,Books & Reference,"December 12, 2016",7.3.8,4.1 and up
Pixel Maps,BUSINESS,,1376,44M,"50,000+",Free,0,Teen,Business,"January 25, 2018",3.14.9,4.1 and up
Fast Recipes,MAPS_AND_NAVIGATION,3.5,35,9.0M,"5,000+",Free,0,Everyone,Maps & Navigation,"September 30, 2017",6.14.4,Varies with device
Quick Photo Editor,HEALTH_AND_FITNESS,4.7,17401,23M,"1,000,000+",Free,0,Everyone,Health & Fitness,"September 24, 2017",6.12.2,Varies with device
Bright Photo Editor 15,HEALTH_AND_FITNESS,3.4,36,98M,"5,000+",Free,0,Everyone,Health & Fitness,"April 29, 2018",1.19.6,4.4 and up
Happy VPN,LIFESTYLE,4.0,85,4.4M,"5,000+",Free,0,Everyone,Lifestyle,"February 2, 2017",3.6.0,Varies with device
Bright Notes,FAMILY,,150,24M,"5,000+",Free,0,Everyone,Casual,"March 5, 2018",7.17.2,Varies with device
Ultimate Puzzle,TRAVEL_AND_LOCAL,4.0,586,19M,"50,000+",Free,0,Teen,Travel & Local,"March 12, 2018",4.19.7,4.4 and up
Happy Workout,HEALTH_AND_FITNESS,4.0,4499,4.4M,"50,000+",Free,0,Mature 17+,Health & Fitness,"August 20, 2017",8.0.3,5.0 and up
Quick Calendar,MAPS_AND_NAVIGATION,4.1,636,34M,"5,000+",Free,0,Everyone,Maps & Navigation,"May 8, 2018",3.14.8,Varies with device
Daily VPN,LIFESTYLE,,2,65M,100+,Free,0,Everyone,Lifestyle,"February 10, 2017",7.10.7,4.0.3 and up
Fast Workout 3,SHOPPING,3.8,2399,39M,"50,000+",Free,0,Teen,Shopping,"March 20, 2018",5.2.4,4.1 and up
Mini Coloring Book 14,MEDICAL,4.2,1575,10M,"50,000+",Free,0,Mature 17+,Medical,"May 20, 2018",1.5.1,4.0.3 and up
Simple Bible,PHOTOGRAPHY,4.4,246,451k,"5,000+",Free,0,Everyone 10+,Photography,"July 4, 2017",4.19.8,4.1 and up
Simple Puzzle,SHOPPING,3.5,147,9.2M,"5,000+",Free,0,Teen,Shopping,"February 11, 2015",4.8.7,Varies with device
Pixel Budget 5,MEDICAL,4.2,99.1k,7.5M,"5,000,000+",Free,0,Everyone,Medical,"July 30, 2018",8.4.0,5.0 and up
Magic Messenger,TRAVEL_AND_LOCAL,3.6,636,7.0M,"50,000+",Free,0,Everyone,Travel & Local,"October 4, 2015",8.12.4,4.0.3 and up
Bright Photo Editor,SHOPPING,3.8,868,34M,"50,000+",Free,0,Everyone,Shopping,"April 12, 2018",7.18.9,Varies with device
Smart Diet Tracker,FINANCE,4.6,119,27M,"5,000+",Free,0,Everyone,Finance,"March 18, 2018",4.14.5,4.1 and up
Bright Recipes,TRAVEL_AND_LOCAL,4.8,1664,4.8M,"50,000+",Free,0,Everyone,Travel & Local,"July 15, 2018",4.9.8,4.4 and up
Ultimate Keyboard 4,SHOPPING,4.3,2376,9.0M,"100,000+",Paid,$2.99,Teen,Shopping,"February 18, 2018",Varies with device,4.0.3 and up
Cool Translator 11,HEALTH_AND_FITNESS,3.9,1737,32M,"50,000+",Free,0,Everyone,Health & Fitness,"July 6, 2017",1.2.5,5.0 and up
Cool Calendar,ART_AND_DESIGN,4.6,676,2.5M,"10,000+",Free,0,Everyone,Art & Design,"May 4, 2017",5.3.7,4.4 and up
Secure Keyboard,MAPS_AND_NAVIGATION,4.2,121,21M,"5,000+",Free,0,Everyone,Maps & Navigation,"July 15, 2017",8.17.0,4.1 and up
Daily Workout 6,PRODUCTIVITY,4.3,4.1k,22M,"50,000+",Free,0,Everyone,Productivity,"February 13, 2016",5.8.5,4.4 and up
Mini Bible,PHOTOGRAPHY,4.2,1967,18M,"100,000+",Free,0,Everyone,Photography,"February 3, 2018",2.19.3,5.0 and up
Mini Chess,MAPS_AND_NAVIGATION,4.0,6223,6.4M,"500,000+",Free,0,Everyone,Maps & Navigation,"May 23, 2018",2.17.8,4.4 and up
Mini Budget,TRAVEL_AND_LOCAL,4.5,3736,7.9M,"100,000+",Free,0,Everyone,Travel & Local,"February 7, 2018",5.18.0,Varies with device
Pro Translator,TRAVEL_AND_LOCAL,4.7,492,2.8M,"50,000+",Free,0,Everyone,Travel & Local,"May 21, 2017",6.10.3,4.1 and up
Super Weather,COMMUNICATION,4.1,1.5k,Varies with device,"50,000+",Free,0,Everyone,Communication,"August 19, 2016",5.8.8,4.1 and up
Cool Budget,ART_AND_DESIGN,4.2,1.1M,Varies with device,"50,000,000+",Free,0,Everyone 10+,Art & Design,"April 10, 2016",4.3.7,4.0.3 and up
Happy Calendar,SPORTS,3.9,124,7.8M,"5,000+",Free,0,Everyone,Sports,"September 3, 2017",1.15.2,4.4 and up
Easy Scanner,HEALTH_AND_FITNESS,4.6,3k,6.3M,"100,000+",Paid,$1.99,Everyone,Health & Fitness,"August 16, 2017",7.4.6,5.0 and up
Daily Workout 3,TOOLS,4.0,184133,14M,"5,000,000+",Free,0,Everyone,Tools,"October 2, 2017",7.4.3,4.0.3 and up
Pro Bible,PHOTOGRAPHY,3.5,54,8.3M,"1,000+",Free,0,Everyone,Photography,"March 24, 2017",1.16.4,5.0 and up
Tiny Keyboard 13,LIFESTYLE,4.2,1.8k,3.7M,"50,000+",Free,0,Everyone,Lifestyle,"March 17, 2018",5.15.9,Varies with device
Secure Radio,LIFESTYLE,3.6,30k,20M,"1,000,000+",Free,0,Everyone,Lifestyle,"October 18, 2017",3.11.8,4.1 and up
Cool Music Player,EDUCATION,3.7,1826,7.9M,"100,000+",Paid,$4.99,Teen,Education,"May 16, 2018",4.2.8,4.0.3 and up
Mini Calendar,MEDICAL,4.1,63,17M,"5,000+",Free,0,Everyone,Medical,"July 28, 2017",Varies with device,4.0.3 and up
Pro Radio,MEDICAL,4.0,2k,16M,"50,000+",Free,0,Everyone,Medical,"June 6, 2018",Varies with device,4.1 and up
Daily Chess,EDUCATION,3.9,19879,6.1M,"1,000,000+",Free,0,Everyone,Education,"October 9, 2015",3.9.0,4.4 and up
Simple Puzzle,MEDICAL,4.6,1281,15M,"50,000+",Free,0,Everyone,Medical,"July 25, 2018",4.14.2,4.1 and up
Quick Recipes,SOCIAL,4.2,162,18M,"5,000+",Paid,$0.99,Teen,Social,"February 20, 2018",3.7.4,5.0 and up
Ultimate Recipes,MEDICAL,,1615,12M,"50,000+",Paid,$9.99,Everyone,Medical,"March 8, 2017",Varies with device,4.4 and up
Smart Bible,FINANCE,4.9,43,27M,"5,000+",Paid,$0.99,Everyone,Finance,"February 22, 2018",5.11.9,4.1 and up
Magic Maps,SHOPPING,4.5,214722,30M,"10,000,000+",Free,0,Everyone,Shopping,"October 12, 2016",2.9.6,4.0.3 and up
Quick Weather,TRAVEL_AND_LOCAL,4.5,40,1.5M,500+,Paid,$2.99,Mature 17+,Travel & Local,"February 7, 2018",2.4.7,4.4 and up
Magic Diet Tracker 10,TOOLS,4.3,2k,Varies with device,"100,000+",Free,0,Everyone,Tools,"December 25, 2017",5.17.5,5.0 and up
Magic Wallpapers,FAMILY,4.8,11,Varies with device,500+,Free,0,Everyone,Casual,"March 16, 2017",2.8.2,4.4 and up
Happy VPN,PHOTOGRAPHY,4.6,3.2k,11M,"50,000+",Free,0,Teen,Photography,"August 27, 2017",4.19.5,Varies with device
Fast Flashlight,ART_AND_DESIGN,4.0,192,4.8M,"5,000+",Free,0,Everyone,Art & Design,"March 9, 2017",3.4.4,4.0.3 and up
Free Maps,SOCIAL,4.3,2642,2.5M,"50,000+",Free,0,Everyone 10+,Social,"November 4, 2017",3.3.7,4.4 and up
Happy Workout,EDUCATION,3.9,190642,Varies with device,"5,000,000+",Free,0,Everyone,Education,"July 28, 2017",6.10.9,4.4 and up
Mini Workout,SOCIAL,4.4,60.1k,7.7M,"1,000,000+",Free,0,Everyone,Social,"March 12, 2018",6.6.9,4.0.3 and up
Happy VPN,PRODUCTIVITY,3.9,11946,Varies with device,"500,000+",Free,0,Everyone,Productivity,"January 30, 2018",Varies with device,5.0 and up
Happy Keyboard,FINANCE,4.2,6k,13M,"50,000+",Free,0,Everyone,Finance,"October 1, 2017",Varies with device,Varies with device
Ultimate Translator 8,TOOLS,4.8,8860,58M,"500,000+",Free,0,Everyone,Tools,"April 5, 2017",8.4.2,Varies with device
Tiny Music Player 3,TRAVEL_AND_LOCAL,4.2,433,3.8M,"50,000+",Free,0,Teen,Travel & Local,"May 12, 2018",3.15.5,Varies with device
Tiny Dictionary,BOOKS_AND_REFERENCE,,382,100M,"10,000+",Free,0,Teen,Books & Reference,"December 17, 2017",1.17.3,4.0.3 and up
Tiny Diet Tracker 8,FINANCE,3.8,13,13M,100+,Free,0,Everyone,Finance,"April 14, 2018",1.1.0,Varies with device
Cool Chess 10,TOOLS,3.7,112,22M,"1,000+",Free,0,Everyone,Tools,"February 24, 2018",Varies with device,4.0.3 and up
Tiny Recipes 5,GAME,4.6,178,47M,"10,000+",Free,0,Everyone,Action,"February 16, 2018",2.13.6,5.0 and up
Super Music Player,SOCIAL,3.6,160,9.4M,"5,000+",Paid,$1.99,Everyone,Social,"July 4, 2017",5.8.7,4.1 and up
Pixel Dictionary,SPORTS,4.5,2413,2.7M,"50,000+",Free,0,Everyone,Sports,"September 16, 2017",4.1.3,4.0.3 and up
Tiny Keyboard,PRODUCTIVITY,4.3,4536,5.5M,"100,000+",Paid,$0.99,Teen,Productivity,"March 2, 2018",7.18.9,4.0.3 and up
Happy Bible 13,EDUCATION,3.7,52926,9.8M,"5,000,000+",Free,0,Everyone,Education,"September 14, 2017",8.5.5,5.0 and up
Quick Coloring Book,PRODUCTIVITY,3.9,582,20M,"50,000+",Paid,$0.99,Everyone,Productivity,"February 25, 2018",3.5.7,4.0.3 and up
Mini Launcher,PHOTOGRAPHY,3.6,433,Varies with device,"10,000+",Free,0,Everyone,Photography,"May 25, 2018",5.17.3,5.0 and up
Tiny Diet Tracker,MEDICAL,3.4,78,7.6M,"5,000+",Free,0,Everyone,Medical,"May 20, 2017",6.19.4,4.1 and up
Pro Puzzle 8,PHOTOGRAPHY,4.4,50,27M,"5,000+",Paid,$1.99,Everyone,Photography,"January 13, 2017",8.15.3,4.1 and up
Free Music Player,ART_AND_DESIGN,3.9,326,5.1M,"5,000+",Free,0,Everyone,Art & Design,"September 29, 2017",1.6.8,4.4 and up
Quick VPN 13,BUSINESS,4.8,1693,2.9M,"50,000+",Free,0,Everyone,Business,"January 31, 2017",2.17.7,Varies with device
Happy Recipes,SHOPPING,4.0,2109,8.9M,"50,000+",Free,0,Everyone,Shopping,"July 26, 2018",4.14.2,Varies with device
Ultimate Photo Editor 4,SOCIAL,4.6,2914,4.9M,"50,000+",Free,0,Teen,Social,"December 10, 2017",2.19.1,4.0.3 and up
Tiny Flashlight,TOOLS,3.9,11,13M,500+,Free,0,Everyone,Tools,"August 16, 2016",2.12.4,Varies with device
Tiny Calendar,FAMILY,4.6,252,16M,"5,000+",Free,0,Everyone,Casual,"September 29, 2014",3.18.4,4.0.3 and up
Smart Dictionary,HEALTH_AND_FITNESS,4.7,945,Varies with device,"50,000+",Free,0,Everyone 10+,Health & Fitness,"June 8, 2018",3.2.7,4.1 and up
Simple Flashlight,PHOTOGRAPHY,4.3,13,9.8M,500+,Free,0,Everyone,Photography,"June 2, 2018",1.13.7,4.0.3 and up
Pro Music Player,ART_AND_DESIGN,4.7,186,4.4M,"5,000+",Free,0,Everyone 10+,Art & Design,"July 18, 2018",5.7.5,Varies with device
Pixel Puzzle,SOCIAL,4.6,84,24M,"5,000+",Free,0,Everyone,Social,"April 14, 2017",Varies with device,5.0 and up
