listing_id,listed_on,zip,bedrooms,sqft,rent,distance_to_campus_m,days_on_market,description,pet_deposit,rating,price_change
L100031,2026-01-10 01:00,15235,1.0,825.0,"$1,015",555.0,13,"Bright 3-bedroom apartment on Penn Ave, unit 14, close to buses, laundry in building, pets ok.",,4.3,18.0
L100032,2026-01-10 08:00,15223,1.0,854.0,"$1,115",6114.0,13,"Bright 1-bedroom apartment on Craig St, unit 218, close to buses, laundry in building, pets ok.",200.0,4.0,22.0
L100033,2026-01-10 15:00,15224,3.0,280.0,"$1,401",2578.0,21,"Bright 2-bedroom apartment on Forbes Ave, unit 334, close to buses, laundry in building, pets ok.",,4.2,17.0
L100034,2026-01-10 22:00,15208,2.0,903.0,"$2,300",3562.0,11,"Bright 2-bedroom apartment on Walnut St, unit 43, close to buses, laundry in building, no pets.",,4.6,22.0
L100035,2026-01-11 05:00,15219,4.0,848.0,"$1,418",3618.0,11,"Bright 3-bedroom apartment on Liberty Ave, unit 398, close to buses, laundry in building, cats only.",,4.1,18.0
L100036,2026-01-11 12:00,15219,0.0,582.0,"$1,087",3954.0,16,"Bright 1-bedroom apartment on Murray Ave, unit 286, close to buses, laundry in building, pets ok.",200.0,4.9,17.0
L100037,2026-01-11 19:00,15220,1.0,1046.0,"$1,258",1278.0,16,"Bright 1-bedroom apartment on Walnut St, unit 16, close to buses, laundry in building, no pets.",300.0,4.3,16.0
L100038,2026-01-12 02:00,15227,3.0,459.0,"$1,411",4986.0,6,"Bright 1-bedroom apartment on Walnut St, unit 241, close to buses, laundry in building, pets ok.",,3.3,22.0
L100039,2026-01-12 09:00,15224,2.0,796.0,$815,2415.0,7,"Bright 2-bedroom apartment on Murray Ave, unit 317, close to buses, laundry in building, pets ok.",,4.6,24.0
L100040,2026-01-12 16:00,15233,2.0,885.0,"$1,551",1182.0,4,"Bright 1-bedroom apartment on Penn Ave, unit 341, close to buses, laundry in building, pets ok.",,3.5,21.0
L100041,2026-01-12 23:00,15213,2.0,538.0,"$1,780",4984.0,7,"Bright 3-bedroom apartment on Walnut St, unit 378, close to buses, laundry in building, cats only.",200.0,4.3,15.0
L100042,2026-01-13 06:00,15217,3.0,1064.0,"$1,628",4929.0,19,"Bright 2-bedroom apartment on Penn Ave, unit 182, close to buses, laundry in building, pets ok.",,5.1,22.0
L100043,2026-01-13 13:00,15235,2.0,1114.0,"$1,740",1785.0,9,"Bright 4-bedroom apartment on Murray Ave, unit 179, close to buses, laundry in building, pets ok.",,4.6,15.0
L100044,2026-01-13 20:00,15233,2.0,503.0,$984,2968.0,21,"Bright 3-bedroom apartment on Walnut St, unit 241, close to buses, laundry in building, cats only.",300.0,3.8,14.0
L100045,2026-01-14 03:00,15224,2.0,498.0,$821,2719.0,16,"Bright 4-bedroom apartment on Penn Ave, unit 347, close to buses, laundry in building, pets ok.",300.0,3.9,18.0
L100046,2026-01-14 10:00,15206,2.0,1001.0,"$2,014",1657.0,18,"Bright 3-bedroom apartment on Liberty Ave, unit 56, close to buses, laundry in building, pets ok.",200.0,4.2,23.0
L100047,2026-01-14 17:00,15224,1.0,842.0,"$1,938",2844.0,16,"Bright 3-bedroom apartment on Craig St, unit 394, close to buses, laundry in building, cats only.",,4.8,23.0
L100048,2026-01-15 00:00,15213,2.0,547.0,$884,2234.0,20,"Bright 4-bedroom apartment on Craig St, unit 89, close to buses, laundry in building, cats only.",,3.9,22.0
L100049,2026-01-15 07:00,15227,2.0,776.0,"$1,583",2827.0,8,"Bright 3-bedroom apartment on Walnut St, unit 164, close to buses, laundry in building, no pets.",,4.7,26.0
L100050,2026-01-15 14:00,15219,3.0,823.0,"$1,510",938.0,8,"Bright 1-bedroom apartment on Liberty Ave, unit 335, close to buses, laundry in building, no pets.",,4.3,-35.0
L100051,2026-01-15 21:00,15216,2.0,814.0,"$1,718",4891.0,10,"Bright 2-bedroom apartment on Forbes Ave, unit 190, close to buses, laundry in building, no pets.",,4.2,18.0
L100052,2026-01-16 04:00,15201,0.0,1057.0,"$1,583",6523.0,13,"Bright 3-bedroom apartment on Murray Ave, unit 228, close to buses, laundry in building, no pets.",300.0,4.1,23.0
L100053,2026-01-16 11:00,15212,2.0,946.0,"$1,299",3766.0,12,"Bright 2-bedroom apartment on Liberty Ave, unit 115, close to buses, laundry in building, pets ok.",200.0,4.9,18.0
L100054,2026-01-16 18:00,15222,3.0,1292.0,"$1,578",762.0,9,"Bright 2-bedroom apartment on Walnut St, unit 150, close to buses, laundry in building, cats only.",,3.6,21.0
L100055,2026-01-17 01:00,15223,2.0,1194.0,"$1,563",3663.0,11,"Bright 2-bedroom apartment on Penn Ave, unit 393, close to buses, laundry in building, pets ok.",200.0,3.8,22.0
L100056,2026-01-17 08:00,15212,2.0,1020.0,"$1,481",8441.0,14,"Bright 4-bedroom apartment on Walnut St, unit 221, close to buses, laundry in building, cats only.",300.0,4.6,19.0
L100057,2026-01-17 15:00,15213,1.0,1119.0,$759,1797.0,7,"Bright 4-bedroom apartment on Walnut St, unit 284, close to buses, laundry in building, no pets.",,4.6,12.0
L100058,2026-01-17 22:00,15201,1.0,1181.0,$302,1540.0,11,"Bright 3-bedroom apartment on Forbes Ave, unit 336, close to buses, laundry in building, pets ok.",,3.7,19.0
L100059,2026-01-18 05:00,15220,2.0,1026.0,"$1,184",709.0,9,"Bright 2-bedroom apartment on Liberty Ave, unit 372, close to buses, laundry in building, pets ok.",,3.8,18.0
L100060,2026-01-18 12:00,15215,0.0,544.0,$846,6829.0,18,"Bright 3-bedroom apartment on Liberty Ave, unit 266, close to buses, laundry in building, no pets.",,3.7,19.0
L100061,2026-01-18 19:00,15203,3.0,1065.0,"$1,601",3718.0,15,"Bright 1-bedroom apartment on Forbes Ave, unit 50, close to buses, laundry in building, pets ok.",300.0,4.4,17.0
L100062,2026-01-19 02:00,15201,3.0,868.0,"$1,786",4609.0,15,"Bright 2-bedroom apartment on Forbes Ave, unit 291, close to buses, laundry in building, no pets.",200.0,3.9,14.0
L100063,2026-01-19 09:00,15217,4.0,1255.0,"$1,605",1144.0,12,"Bright 4-bedroom apartment on Liberty Ave, unit 293, close to buses, laundry in building, cats only.",,4.8,12.0
L100064,2026-01-19 16:00,15218,1.0,873.0,"$1,352",2983.0,18,"Bright 1-bedroom apartment on Forbes Ave, unit 108, close to buses, laundry in building, cats only.",,4.5,23.0
L100065,2026-01-19 23:00,15219,1.0,981.0,"$1,528",2451.0,14,"Bright 2-bedroom apartment on Penn Ave, unit 237, close to buses, laundry in building, no pets.",,4.3,23.0
L100066,2026-01-20 06:00,15215,3.0,932.0,"$1,967",8955.0,14,"Bright 1-bedroom apartment on Craig St, unit 315, close to buses, laundry in building, pets ok.",,4.3,21.0
L100067,2026-01-20 13:00,15233,1.0,1270.0,"$1,208",815.0,11,"Bright 2-bedroom apartment on Craig St, unit 193, close to buses, laundry in building, pets ok.",300.0,4.4,19.0
L100068,2026-01-20 20:00,15233,1.0,894.0,"$1,869",3530.0,17,"Bright 2-bedroom apartment on Walnut St, unit 65, close to buses, laundry in building, no pets.",,4.5,29.0
L100069,2026-01-21 03:00,15222,1.0,783.0,"$1,783",3123.0,15,"Bright 4-bedroom apartment on Murray Ave, unit 389, close to buses, laundry in building, cats only.",,4.2,23.0
L100070,2026-01-21 10:00,15218,2.0,927.0,"$1,605",3725.0,11,"Bright 4-bedroom apartment on Liberty Ave, unit 27, close to buses, laundry in building, pets ok.",,4.3,20.0
L100071,2026-01-21 17:00,15218,1.0,740.0,"$2,081",4490.0,9,"Bright 1-bedroom apartment on Murray Ave, unit 244, close to buses, laundry in building, cats only.",200.0,4.5,24.0
L100072,2026-01-22 00:00,15201,2.0,891.0,"$1,213",1271.0,9,"Bright 2-bedroom apartment on Forbes Ave, unit 383, close to buses, laundry in building, pets ok.",,4.2,19.0
L100073,2026-01-22 07:00,15224,2.0,848.0,"$1,877",1749.0,17,"Bright 1-bedroom apartment on Walnut St, unit 307, close to buses, laundry in building, cats only.",,4.6,23.0
L100074,2026-01-22 14:00,15212,2.0,918.0,"$1,128",2487.0,9,"Bright 4-bedroom apartment on Penn Ave, unit 155, close to buses, laundry in building, no pets.",,4.2,21.0
L100075,2026-01-22 21:00,15221,0.0,1331.0,"$1,193",3007.0,9,"Bright 3-bedroom apartment on Murray Ave, unit 316, close to buses, laundry in building, no pets.",,3.9,22.0
L100076,2026-01-23 04:00,15224,3.0,749.0,"$1,076",1293.0,5,"Bright 2-bedroom apartment on Craig St, unit 47, close to buses, laundry in building, cats only.",,4.3,20.0
L100077,2026-01-23 11:00,15220,1.0,120000.0,"$1,678",2773.0,18,"Bright 1-bedroom apartment on Walnut St, unit 233, close to buses, laundry in building, no pets.",300.0,4.9,17.0
L100078,2026-01-23 18:00,15219,1.0,800.0,"$1,124",3829.0,12,"Bright 4-bedroom apartment on Liberty Ave, unit 382, close to buses, laundry in building, no pets.",,4.8,22.0
L100079,2026-01-24 01:00,15222,2.0,1018.0,"$1,521",6013.0,14,"Bright 4-bedroom apartment on Craig St, unit 55, close to buses, laundry in building, pets ok.",,3.6,25.0
L100080,2026-01-24 08:00,15203,1.0,555.0,"$1,045",7423.0,16,"Bright 3-bedroom apartment on Murray Ave, unit 171, close to buses, laundry in building, no pets.",,4.3,15.0
L100081,2026-01-24 15:00,15226,3.0,677.0,"$1,927",1788.0,12,"Bright 4-bedroom apartment on Forbes Ave, unit 212, close to buses, laundry in building, pets ok.",200.0,4.0,17.0
L100082,2026-01-24 22:00,15226,1.0,840.0,"$2,234",5418.0,5,"Bright 1-bedroom apartment on Forbes Ave, unit 396, close to buses, laundry in building, cats only.",,4.1,14.0
L100083,2026-01-25 05:00,15219,2.0,987.0,"$1,590",5170.0,14,"Bright 2-bedroom apartment on Murray Ave, unit 27, close to buses, laundry in building, no pets.",300.0,4.1,24.0
L100084,2026-01-25 12:00,15213,1.0,838.0,"$2,157",4250.0,14,"Bright 3-bedroom apartment on Walnut St, unit 289, close to buses, laundry in building, cats only.",200.0,4.1,19.0
L100085,2026-01-25 19:00,15220,2.0,725.0,"$1,724",3417.0,15,"Bright 4-bedroom apartment on Murray Ave, unit 66, close to buses, laundry in building, no pets.",,4.0,24.0
L100086,2026-01-26 02:00,15222,3.0,633.0,"$2,368",4177.0,12,"Bright 2-bedroom apartment on Walnut St, unit 46, close to buses, laundry in building, cats only.",,4.1,16.0
L100087,2026-01-26 09:00,15226,3.0,978.0,"$1,540",3314.0,11,"Bright 2-bedroom apartment on Liberty Ave, unit 296, close to buses, laundry in building, no pets.",,4.3,24.0
L100088,2026-01-26 16:00,15233,1.0,1211.0,$872,3923.0,14,"Bright 4-bedroom apartment on Murray Ave, unit 67, close to buses, laundry in building, no pets.",,3.7,17.0
L100089,2026-01-26 23:00,15210,2.0,931.0,"$2,096",3816.0,12,"Bright 3-bedroom apartment on Murray Ave, unit 34, close to buses, laundry in building, no pets.",300.0,3.7,17.0
L100090,2026-01-27 06:00,15235,3.0,897.0,"$1,449",1268.0,12,"Bright 2-bedroom apartment on Forbes Ave, unit 175, close to buses, laundry in building, cats only.",200.0,3.8,-50.0
L100091,2026-01-27 13:00,15221,1.0,961.0,"$1,086",2310.0,12,"Bright 2-bedroom apartment on Murray Ave, unit 155, close to buses, laundry in building, pets ok.",,3.7,18.0
L100092,2026-01-27 20:00,15208,1.0,614.0,"$1,237",1192.0,5,"Bright 2-bedroom apartment on Liberty Ave, unit 139, close to buses, laundry in building, pets ok.",,4.4,17.0
L100093,2026-01-28 03:00,15227,2.0,772.0,$849,2520.0,11,"Bright 4-bedroom apartment on Walnut St, unit 363, close to buses, laundry in building, no pets.",200.0,3.8,24.0
L100094,2026-01-28 10:00,15203,2.0,783.0,"$1,433",1555.0,10,"Bright 4-bedroom apartment on Penn Ave, unit 271, close to buses, laundry in building, cats only.",300.0,4.2,19.0
L100095,2026-01-28 17:00,15232,2.0,924.0,"$1,071",3517.0,12,"Bright 2-bedroom apartment on Walnut St, unit 134, close to buses, laundry in building, pets ok.",,4.2,26.0
L100096,2026-01-29 00:00,15218,2.0,842.0,"$2,094",983.0,11,"Bright 2-bedroom apartment on Forbes Ave, unit 27, close to buses, laundry in building, cats only.",,4.5,32.0
L100097,2026-01-29 07:00,15226,2.0,546.0,"$1,766",1442.0,8,"Bright 4-bedroom apartment on Walnut St, unit 15, close to buses, laundry in building, cats only.",,4.2,17.0
L100098,2026-01-29 14:00,15219,1.0,1131.0,$836,4142.0,8,"Bright 3-bedroom apartment on Walnut St, unit 170, close to buses, laundry in building, pets ok.",300.0,4.6,18.0
L100099,2026-01-29 21:00,15203,2.0,1273.0,$896,10296.0,15,"Bright 2-bedroom apartment on Walnut St, unit 331, close to buses, laundry in building, pets ok.",,4.2,12.0
L100100,2026-01-30 04:00,15227,2.0,784.0,"$1,273",1919.0,16,"Bright 2-bedroom apartment on Murray Ave, unit 196, close to buses, laundry in building, cats only.",,4.3,14.0
L100101,2026-01-30 11:00,15212,2.0,950.0,$730,2811.0,4,"Bright 2-bedroom apartment on Forbes Ave, unit 200, close to buses, laundry in building, pets ok.",200.0,4.5,23.0
L100102,2026-01-30 18:00,15203,2.0,917.0,"$1,456",5426.0,13,"Bright 3-bedroom apartment on Murray Ave, unit 79, close to buses, laundry in building, pets ok.",200.0,3.6,21.0
L100103,2026-01-31 01:00,15206,1.0,1046.0,"$1,483",1889.0,13,"Bright 4-bedroom apartment on Walnut St, unit 231, close to buses, laundry in building, pets ok.",,4.4,21.0
L100104,2026-01-31 08:00,15222,1.0,480.0,"$1,191",1968.0,13,"Bright 1-bedroom apartment on Walnut St, unit 75, close to buses, laundry in building, no pets.",300.0,4.8,22.0
L100105,2026-01-31 15:00,15220,3.0,1253.0,"$1,281",1507.0,10,"Bright 1-bedroom apartment on Forbes Ave, unit 361, close to buses, laundry in building, no pets.",200.0,4.2,16.0
L100106,2026-01-31 22:00,15223,1.0,733.0,"$1,700",2427.0,7,"Bright 2-bedroom apartment on Penn Ave, unit 105, close to buses, laundry in building, no pets.",,4.1,11.0
L100107,2026-02-01 05:00,15224,1.0,1166.0,"$2,069",4957.0,14,"Bright 1-bedroom apartment on Liberty Ave, unit 154, close to buses, laundry in building, cats only.",,5.0,25.0
L100108,2026-02-01 12:00,15218,0.0,870.0,"$2,098",1139.0,10,"Bright 1-bedroom apartment on Penn Ave, unit 183, close to buses, laundry in building, cats only.",,4.2,21.0
L100109,2026-02-01 19:00,15227,3.0,753.0,"$1,514",2607.0,15,"Bright 3-bedroom apartment on Craig St, unit 198, close to buses, laundry in building, pets ok.",,4.7,25.0
L100110,2026-02-02 02:00,15206,4.0,815.0,"$1,842",3452.0,14,"Bright 3-bedroom apartment on Murray Ave, unit 25, close to buses, laundry in building, pets ok.",,3.2,20.0
L100111,2026-02-02 09:00,15224,1.0,1074.0,"$1,205",2260.0,14,"Bright 4-bedroom apartment on Craig St, unit 334, close to buses, laundry in building, cats only.",,4.2,24.0
L100112,2026-02-02 16:00,15215,1.0,634.0,"$1,665",365.0,6,"Bright 4-bedroom apartment on Murray Ave, unit 16, close to buses, laundry in building, no pets.",,4.0,17.0
L100113,2026-02-02 23:00,15216,1.0,756.0,"$1,116",1141.0,17,"Bright 4-bedroom apartment on Walnut St, unit 134, close to buses, laundry in building, pets ok.",,4.4,20.0
L100114,2026-02-03 06:00,15203,2.0,729.0,"$1,792",1672.0,13,"Bright 1-bedroom apartment on Walnut St, unit 262, close to buses, laundry in building, cats only.",,4.7,19.0
L100115,2026-02-03 13:00,15203,2.0,421.0,"$1,005",2420.0,12,"Bright 3-bedroom apartment on Liberty Ave, unit 52, close to buses, laundry in building, pets ok.",200.0,4.1,22.0
L100116,2026-02-03 20:00,15232,3.0,1175.0,"$1,114",3820.0,13,"Bright 1-bedroom apartment on Walnut St, unit 290, close to buses, laundry in building, pets ok.",,4.1,27.0
L100117,2026-02-04 03:00,15218,1.0,995.0,"$1,497",2842.0,10,"Bright 1-bedroom apartment on Penn Ave, unit 372, close to buses, laundry in building, pets ok.",300.0,3.1,23.0
L100118,2026-02-04 10:00,15233,3.0,845.0,"$1,723",4273.0,13,"Bright 3-bedroom apartment on Liberty Ave, unit 99, close to buses, laundry in building, no pets.",,4.5,6.0
L100119,2026-02-04 17:00,15222,2.0,1141.0,$925,4788.0,11,"Bright 1-bedroom apartment on Murray Ave, unit 55, close to buses, laundry in building, pets ok.",,4.7,19.0
L100120,2026-02-05 00:00,15223,3.0,611.0,"$1,285",659.0,12,"Bright 1-bedroom apartment on Craig St, unit 215, close to buses, laundry in building, cats only.",,4.3,20.0
L100121,2026-02-05 07:00,15206,3.0,832.0,"$1,554",1422.0,11,"Bright 4-bedroom apartment on Forbes Ave, unit 238, close to buses, laundry in building, cats only.",,4.0,24.0
L100122,2026-02-05 14:00,15213,3.0,1281.0,"$1,592",5320.0,8,"Bright 4-bedroom apartment on Murray Ave, unit 150, close to buses, laundry in building, pets ok.",,4.3,21.0
L100123,2026-02-05 21:00,15221,2.0,1095.0,"$1,164",1181.0,13,"Bright 4-bedroom apartment on Walnut St, unit 246, close to buses, laundry in building, cats only.",,4.6,16.0
L100124,2026-02-06 04:00,15206,2.0,294.0,"$1,539",5825.0,18,"Bright 2-bedroom apartment on Penn Ave, unit 30, close to buses, laundry in building, no pets.",,4.5,16.0
L100125,2026-02-06 11:00,15221,2.0,17.0,"$1,393",564.0,10,"Bright 4-bedroom apartment on Murray Ave, unit 334, close to buses, laundry in building, cats only.",,5.0,18.0
L100126,2026-02-06 18:00,15208,1.0,591.0,"$2,062",2286.0,8,"Bright 4-bedroom apartment on Forbes Ave, unit 264, close to buses, laundry in building, pets ok.",,4.0,16.0
L100127,2026-02-07 01:00,15216,2.0,1115.0,"$1,723",4773.0,10,"Bright 2-bedroom apartment on Walnut St, unit 163, close to buses, laundry in building, cats only.",,3.7,27.0
L100128,2026-02-07 08:00,15233,3.0,732.0,$970,5757.0,11,"Bright 1-bedroom apartment on Walnut St, unit 251, close to buses, laundry in building, cats only.",,4.4,23.0
L100129,2026-02-07 15:00,15233,3.0,796.0,$619,3644.0,6,"Bright 3-bedroom apartment on Liberty Ave, unit 3, close to buses, laundry in building, cats only.",200.0,4.7,20.0
L100130,2026-02-07 22:00,15212,0.0,1002.0,"$1,540",1087.0,17,"Bright 2-bedroom apartment on Forbes Ave, unit 287, close to buses, laundry in building, no pets.",,4.0,-45.0
L100131,2026-02-08 05:00,15222,2.0,629.0,"$1,973",3858.0,15,"Bright 2-bedroom apartment on Craig St, unit 249, close to buses, laundry in building, no pets.",,4.2,31.0
L100132,2026-02-08 12:00,15201,1.0,903.0,"$1,569",4524.0,13,"Bright 1-bedroom apartment on Murray Ave, unit 327, close to buses, laundry in building, no pets.",200.0,3.9,19.0
L100133,2026-02-08 19:00,15226,1.0,1048.0,"$1,853",5204.0,14,"Bright 1-bedroom apartment on Liberty Ave, unit 319, close to buses, laundry in building, pets ok.",,3.7,20.0
L100134,2026-02-09 02:00,15216,1.0,967.0,"$1,306",2793.0,17,"Bright 3-bedroom apartment on Craig St, unit 210, close to buses, laundry in building, pets ok.",,3.9,18.0
L100135,2026-02-09 09:00,15206,3.0,949.0,$954,4479.0,11,"Bright 3-bedroom apartment on Craig St, unit 13, close to buses, laundry in building, no pets.",200.0,3.4,14.0
L100136,2026-02-09 16:00,15227,4.0,699.0,"$1,799",3045.0,13,"Bright 1-bedroom apartment on Walnut St, unit 147, close to buses, laundry in building, cats only.",,4.3,17.0
L100137,2026-02-09 23:00,15235,2.0,979.0,"$1,540",2426.0,15,"Bright 3-bedroom apartment on Walnut St, unit 1, close to buses, laundry in building, cats only.",300.0,4.4,15.0
L100138,2026-02-10 06:00,15235,1.0,743.0,"$1,773",11705.0,11,"Bright 2-bedroom apartment on Walnut St, unit 141, close to buses, laundry in building, cats only.",,4.6,22.0
L100139,2026-02-10 13:00,15218,2.0,1176.0,$947,2365.0,11,"Bright 1-bedroom apartment on Murray Ave, unit 86, close to buses, laundry in building, cats only.",,3.9,22.0
L100140,2026-02-10 20:00,15235,3.0,1493.0,"$1,573",1478.0,6,"Bright 2-bedroom apartment on Penn Ave, unit 394, close to buses, laundry in building, no pets.",300.0,3.9,24.0
L100141,2026-02-11 03:00,15218,2.0,665.0,"$1,250",2304.0,16,"Bright 3-bedroom apartment on Penn Ave, unit 382, close to buses, laundry in building, pets ok.",,3.5,16.0
L100142,2026-02-11 10:00,15215,0.0,306.0,"$1,823",1133.0,7,"Bright 4-bedroom apartment on Craig St, unit 41, close to buses, laundry in building, cats only.",,3.6,25.0
L100143,2026-02-11 17:00,15235,1.0,744.0,"$1,268",4385.0,9,"Bright 4-bedroom apartment on Murray Ave, unit 241, close to buses, laundry in building, cats only.",,4.6,15.0
L100144,2026-02-12 00:00,15218,3.0,944.0,"$1,257",4236.0,6,"Bright 4-bedroom apartment on Murray Ave, unit 362, close to buses, laundry in building, pets ok.",200.0,5.3,19.0
L100145,2026-02-12 07:00,15223,2.0,1113.0,"$1,266",3322.0,11,"Bright 4-bedroom apartment on Liberty Ave, unit 390, close to buses, laundry in building, pets ok.",,3.8,26.0
L100146,2026-02-12 14:00,15208,2.0,1120.0,"$2,005",3939.0,11,"Bright 2-bedroom apartment on Walnut St, unit 272, close to buses, laundry in building, pets ok.",,4.0,26.0
L100147,2026-02-12 21:00,15223,3.0,654.0,"$1,512",2229.0,10,"Bright 2-bedroom apartment on Liberty Ave, unit 295, close to buses, laundry in building, no pets.",,4.6,25.0
L100148,2026-02-13 04:00,15235,2.0,652.0,"$1,196",756.0,9,"Bright 3-bedroom apartment on Murray Ave, unit 88, close to buses, laundry in building, no pets.",,3.9,30.0
L100149,2026-02-13 11:00,15217,2.0,1167.0,"$1,091",3675.0,5,"Bright 1-bedroom apartment on Penn Ave, unit 182, close to buses, laundry in building, no pets.",,4.4,25.0
